timestamp,label,cpu_usage,cpu_delta,network_rx_rps,net_delta,memory_usage_mb,payment_cpu,restart_rate,pod_restarts_5m
2026-05-25 15:15:53,0,0.044741,-0.002003,53.020682,27.3377,1402.328125,0.000484,0.0,0.0
2026-05-25 15:16:12,0,0.142725,0.097984,194.907616,141.8869,1417.695312,0.00261,0.0,0.0
2026-05-25 15:16:34,0,0.194275,0.05155,300.818091,105.9105,1433.609375,0.006284,0.0,0.0
2026-05-25 15:16:54,0,0.18704,-0.007235,292.874237,-7.9439,1434.902344,0.004145,0.0,0.0
2026-05-25 15:17:13,0,0.165228,-0.021812,228.436825,-64.4374,1437.5625,0.002298,0.0,0.0
2026-05-25 15:17:34,0,0.113983,-0.051245,124.291857,-104.145,1438.207031,0.000615,0.0,0.0
2026-05-25 15:17:52,0,0.058673,-0.05531,53.745901,-70.546,1439.457031,0.000892,0.0,0.0
2026-05-25 15:18:13,0,0.11135,0.052677,147.555499,93.8096,1447.671875,0.004204,0.0,0.0
2026-05-25 15:18:30,0,0.13135,0.02,211.150601,63.5951,1441.554688,0.010469,0.0,0.0
2026-05-25 15:18:47,0,0.246877,0.115527,292.906,81.7554,1381.015625,0.011315,0.0,0.0
2026-05-25 15:19:04,0,0.306983,0.060106,294.003414,1.0974,1412.273438,0.009305,0.0,0.0
2026-05-25 15:19:20,0,0.253464,-0.053519,420.407757,126.4043,1432.667969,0.021071,0.0,0.0
2026-05-25 15:19:41,0,0.3267,0.073236,551.155755,130.748,1437.789062,0.025008,0.0,0.0
2026-05-25 15:20:01,0,0.251071,-0.075629,499.59353,-51.5622,1440.738281,0.007175,0.0,0.0
2026-05-25 15:20:21,0,0.126121,-0.12495,228.186267,-271.4073,1443.246094,0.004285,0.0,0.0
2026-05-25 15:20:43,0,0.061043,-0.065078,78.227725,-149.9585,1441.539062,0.003418,0.0,0.0
2026-05-25 15:21:05,0,0.054757,-0.006286,51.092722,-27.135,1442.542969,0.002976,0.0,0.0
