timestamp,cpu_usage,network_rx_rps,memory_usage_mb,restart_rate,label
2026-04-14 18:39:49,0.4359,6.4024,1099.3789,0.0,0
2026-04-14 18:40:04,0.5405,10.6184,1125.3281,0.0,0
2026-04-14 18:40:20,0.4518,9.7514,1153.2148,0.0,0
2026-04-14 18:40:35,0.3476,9.3965,1158.8477,0.0,0
2026-04-14 18:40:50,0.2228,16.6451,1147.6562,0.0,0
2026-04-14 18:41:06,0.2579,50.865,1146.1133,0.0,0
2026-04-14 18:41:21,0.2935,69.128,1146.0273,0.0,0
2026-04-14 18:41:37,0.2925,66.9072,1144.9023,0.0,0
2026-04-14 18:41:52,0.2935,59.7756,1147.5195,0.0,0
2026-04-14 18:42:07,0.2129,61.9909,1147.2109,0.0,0
2026-04-14 18:42:23,0.2791,53.7051,1178.9336,0.0,0
2026-04-14 18:42:38,0.2819,56.3455,1178.4922,0.0,0
2026-04-14 18:42:54,0.2431,67.7406,1150.4844,0.0,0
2026-04-14 18:43:09,0.2479,122.9263,1029.4844,0.0,0
2026-04-14 18:43:25,0.3036,151.0046,1078.3633,0.0,0
2026-04-14 18:43:40,0.2832,163.6395,1065.9609,0.0,0
2026-04-14 18:43:56,0.3012,182.4697,1101.0977,0.0,0
2026-04-14 18:44:11,0.2836,163.5881,1202.8281,0.0,0
2026-04-14 18:44:26,0.2671,229.7656,1246.5273,0.0,0
2026-04-14 18:44:42,0.2885,261.4637,1254.0117,0.0,0
2026-04-14 18:44:57,0.2368,304.1743,1264.3203,0.0,0
2026-04-14 18:45:13,0.3465,366.1654,1276.1875,0.0,0
2026-04-14 18:45:28,0.292,295.7503,1369.0703,0.0,0
2026-04-14 18:45:44,0.3587,198.3758,1490.75,0.0,0
2026-04-14 18:45:59,0.3085,181.6107,1565.7773,0.0,0
2026-04-14 18:46:15,0.2498,215.7403,1567.6133,0.0,0
2026-04-14 18:46:30,0.2602,205.9255,1605.3672,0.0,0
2026-04-14 18:46:46,0.2749,213.5701,1636.2539,0.0,0
2026-04-14 18:47:01,0.3177,237.6634,1643.5078,0.0,0
2026-04-14 18:47:17,0.3498,206.7609,1679.6289,0.0,0
2026-04-14 18:47:32,0.228,186.2976,1678.5781,0.0,0
2026-04-14 18:47:48,0.302,373.152,1679.2969,0.0,0
2026-04-14 18:48:03,0.3016,592.4805,1485.8047,0.0,0
2026-04-14 18:48:19,0.346,549.7836,1465.207,0.0,0
2026-04-14 18:48:34,0.3599,419.4956,1469.0664,0.0,0
2026-04-14 18:48:49,0.3424,456.8218,1477.8438,0.0,0
2026-04-14 18:49:05,0.338,447.7265,1498.9727,0.0,0
2026-04-14 18:49:20,0.3406,599.0591,1515.3672,0.0,0
2026-04-14 18:49:36,0.3608,533.3214,1525.2812,0.0,0
2026-04-14 18:49:51,0.3323,500.3397,1532.9375,0.0,0
2026-04-14 18:50:07,0.3159,717.0637,1531.457,0.0,0
2026-04-14 18:50:22,0.3483,735.7993,1617.9844,0.0,0
2026-04-14 18:50:38,0.3318,670.4508,1504.1836,0.0,0
2026-04-14 18:50:53,0.2813,611.7128,1507.082,0.0,0
2026-04-14 18:51:09,0.2666,554.0243,1505.4258,0.0,0
2026-04-14 18:51:24,0.2953,618.5084,1506.6445,0.0,0
2026-04-14 18:51:39,0.2784,595.6939,1508.9727,0.0,0
2026-04-14 18:51:55,0.3266,463.3758,1507.9648,0.0,0
2026-04-14 18:52:10,0.3445,525.1807,1510.7852,0.0,0
2026-04-14 18:52:26,0.3739,580.7851,1562.5469,0.0,0
2026-04-14 18:52:41,0.3583,578.9179,1566.9844,0.0,0
2026-04-14 18:52:56,0.3251,538.8853,1573.4648,0.0,0
2026-04-14 18:53:12,0.2837,687.3203,1582.4141,0.0,0
2026-04-14 18:53:27,0.3574,481.0059,1681.5195,0.0,0
2026-04-14 18:53:43,0.3733,335.9532,1681.1367,0.0,0
2026-04-14 18:53:58,0.3276,254.8907,1682.9805,0.0,0
2026-04-14 18:54:14,0.2513,161.9808,1703.2656,0.0,0
2026-04-14 18:54:29,0.2742,185.6496,1782.2578,0.0,0
2026-04-14 18:54:44,0.2863,121.3893,1793.8477,0.0,0
2026-04-14 18:57:00,0.2465,8.6231,1761.9102,0.0,1
2026-04-14 18:57:15,0.2131,9.3713,1761.8867,0.0,1
2026-04-14 18:57:31,0.2655,8.9239,1756.0547,0.0,1
2026-04-14 18:57:46,0.2373,10.6838,1748.9531,0.0,1
2026-04-14 18:58:01,0.4092,736.2448,1893.2266,0.0,1
2026-04-14 18:58:17,0.6575,1683.2094,1822.4453,0.0218,1
2026-04-14 18:58:32,0.7761,2477.6512,1868.3906,0.0305,1
2026-04-14 18:58:48,0.5972,1900.3462,1828.207,0.0,1
2026-04-14 18:59:03,0.4606,1305.7491,1832.8125,0.0,1
2026-04-14 18:59:19,0.3825,921.4508,1813.3008,0.0333,1
2026-04-14 18:59:34,0.4488,1006.863,1836.9258,0.0333,1
2026-04-14 18:59:49,0.6517,1934.7852,1870.043,0.0,1
2026-04-14 19:00:05,0.7665,2352.3363,1867.3203,0.0,1
2026-04-14 19:00:21,0.7515,2184.5973,1868.4766,0.0,1
2026-04-14 19:00:36,0.6574,1668.9143,1869.875,0.0,1
2026-04-14 19:00:52,0.6563,1823.7812,1847.5586,0.0,1
2026-04-14 19:01:07,0.6618,1920.3407,1869.1016,0.0,1
2026-04-14 19:01:22,0.748,2073.2764,1850.5703,0.0,1
2026-04-14 19:01:38,0.7235,2240.4114,1856.3359,0.0,1
2026-04-14 19:01:53,0.6954,1930.8784,1865.8828,0.0,1
2026-04-14 19:02:09,0.618,1665.3254,1866.168,0.0,1
2026-04-14 19:02:24,0.588,1985.2166,1880.9961,0.0,1
2026-04-14 19:02:40,0.6903,2238.8871,1883.4062,0.0,1
2026-04-14 19:02:55,0.7396,2387.0463,1891.7891,0.0,1
2026-04-14 19:03:10,0.6095,2012.338,885.4727,0.0183,1
2026-04-14 19:03:26,0.5145,1787.6508,1010.9141,0.0268,1
2026-04-14 19:03:41,0.6166,2304.3063,1089.8477,0.0,1
2026-04-14 19:03:57,0.7019,2211.5646,1170.1289,0.0,1
2026-04-14 19:04:12,0.5376,1149.6788,1174.1328,0.0333,1
2026-04-14 19:04:27,0.3709,658.7787,1193.2266,0.0333,1
2026-04-14 19:04:43,0.426,920.7955,1238.9062,0.0,1
2026-04-14 19:04:58,0.4129,1115.8013,1262.2812,0.0,1
2026-04-14 19:05:14,0.4263,868.3876,1240.3359,0.0,1
2026-04-14 19:05:29,0.3309,439.0113,1254.6406,0.0,1
2026-04-14 19:05:44,0.334,372.0241,1319.3398,0.0333,1
2026-04-14 19:06:00,0.5847,1044.9183,1422.0703,0.0333,1
2026-04-14 19:06:15,0.6653,1708.7897,1443.1133,0.0,1
2026-04-14 19:06:31,0.554,1175.1882,1522.3789,0.0,1
2026-04-14 19:06:46,0.2979,474.619,1612.2188,0.0,1
2026-04-14 19:07:01,0.2771,360.8682,1616.8867,0.0,1
2026-04-14 19:07:17,0.4021,643.8221,1668.0117,0.0,1
2026-04-14 19:07:32,0.4693,702.0208,1785.5625,0.0,1
2026-04-14 19:07:48,0.4705,945.2056,1805.8516,0.0333,1
2026-04-14 19:08:03,0.4571,1096.8739,1773.2227,0.0333,1
2026-04-14 19:08:18,0.4455,1419.4856,783.4531,0.0,1
2026-04-14 19:08:34,0.26,1240.3756,791.9219,0.0,1
2026-04-14 19:08:49,0.3013,848.3278,964.4414,0.0333,1
2026-04-14 19:09:05,0.3011,507.9641,1075.0664,0.0333,1
2026-04-14 19:09:20,0.3515,383.124,1062.332,0.0,1
2026-04-14 19:09:36,0.3702,474.1298,1142.0312,0.0,1
2026-04-14 19:09:51,0.3052,434.7435,1134.8984,0.0,1
2026-04-14 19:10:07,0.3106,313.6761,1158.6289,0.0,1
2026-04-14 19:10:22,0.2584,267.6645,1184.1445,0.0,1
2026-04-14 19:10:38,0.3178,542.6308,1188.7891,0.0,1
2026-04-14 19:10:53,0.4397,655.1436,1286.6445,0.0,1
2026-04-14 19:11:09,0.4051,655.9423,1321.5234,0.0333,1
2026-04-14 19:11:24,0.4443,1165.4641,1399.9922,0.0333,1
2026-04-14 19:11:40,0.5325,1342.6068,1457.9531,0.0,1
2026-04-14 19:11:55,0.3936,950.3552,1459.7188,0.0,1
